"Energy [MeV]" dE/dx "Range [cm]" "Longitudinal Straggling [cm]" "Lateral Straggling [cm]"
22.50 0.051482349999999996 7183.0 303.0 70.635
25.00 0.04710845 8722.0 373.0 85.501
27.50 0.043485220000000005 10396.0 443.0 102.0
30.00 0.04043251 12203.0 512.0 119.0
32.50 0.0378202 14141.0 582.0 138.0
35.00 0.03555821 16207.0 652.0 157.0
37.50 0.033576470000000004 18400.0 723.0 178.0
40.00 0.031824950000000005 20718.0 795.0 200.0
45.00 0.02888238 25717.0 1066.0 247.00000000000003
50.00 0.0265003 31195.999999999996 1320.0 299.0
55.00 0.02451859 37142.0 1568.0 355.0
60.00 0.022857159999999998 43545.0 1813.0 415.00000000000006
65.00 0.02142593 50393.0 2058.0 479.0
70.00 0.020204879999999998 57677.0 2304.0 546.0
80.00 0.01818315 73496.0 3218.0 692.0
90.00 0.016591790000000002 90952.0 4061.9999999999995 852.0
100.00 0.01530069 110000.00000000001 4879.0 1026.0
